name of the body,position x,position y,position z
jupiter,4.95487,-0.0147061,-0.110905
saturn,7.90602,4.83747,-0.398536
uranus,13.3221,-14.7575,-0.227548
neptune,15.7695,-25.6784,0.165336
sun,-1.92202e-05,-0.00135868,6.51081e-06
jupiter,4.95443,0.0141914,-0.111015
saturn,7.89428,4.85481,-0.398371
uranus,13.3327,-14.7485,-0.227651
neptune,15.7792,-25.6723,0.164987
sun,-1.62431e-05,-0.00139193,6.58703e-06
jupiter,4.95384,0.0430885,-0.111122
saturn,7.88249,4.87214,-0.398204
uranus,13.3432,-14.7395,-0.227755
neptune,15.7889,-25.6662,0.164638
sun,-1.31009e-05,-0.00142517,6.65924e-06
jupiter,4.95308,0.0719841,-0.111224
saturn,7.87066,4.88944,-0.398035
uranus,13.3538,-14.7305,-0.227858
neptune,15.7986,-25.6601,0.16429
sun,-9.79373e-06,-0.00145841,6.72744e-06
jupiter,4.95217,0.100877,-0.111323
saturn,7.8588,4.90672,-0.397864
uranus,13.3643,-14.7214,-0.227962
neptune,15.8083,-25.654,0.163941
sun,-6.32152e-06,-0.00149163,6.79162e-06
jupiter,4.95109,0.129767,-0.111419
saturn,7.84689,4.92397,-0.397691
uranus,13.3748,-14.7124,-0.228065
neptune,15.818,-25.6478,0.163592
sun,-2.68431e-06,-0.00152485,6.85178e-06
jupiter,4.94985,0.158653,-0.111511
saturn,7.83495,4.9412,-0.397516
uranus,13.3853,-14.7034,-0.228168
neptune,15.8277,-25.6417,0.163244
sun,1.11789e-06,-0.00155805,6.90791e-06
jupiter,4.94845,0.187534,-0.111599
saturn,7.82297,4.9584,-0.397338
uranus,13.3959,-14.6943,-0.228271
neptune,15.8373,-25.6356,0.162895
sun,5.08506e-06,-0.00159124,6.96002e-06
jupiter,4.9469,0.216408,-0.111684
saturn,7.81095,4.97558,-0.397159
uranus,13.4064,-14.6853,-0.228374
neptune,15.847,-25.6295,0.162546
sun,9.21717e-06,-0.00162442,7.00809e-06
